Termocupla1	Termocupla2	Termocupla3	Termocupla4	Termocupla5	Termocupla6
77.050596	79.979083	77.689682	79.399865	72.429377	79.100645	
77.705118	70.022737	73.134648	73.626988	78.838445	73.682152	
77.743456	76.494120	77.036689	71.595174	74.705120	78.392226	
75.804671	72.062205	76.637122	70.279918	70.801776	73.692485	
74.040194	73.985423	74.390592	76.823773	75.368536	75.546397	
75.943264	72.264999	75.482618	72.389033	76.010045	73.943040	
70.360315	77.759732	72.909656	74.264253	78.250845	78.317136	
73.552007	72.321171	72.065981	70.837345	77.314281	75.546987	
78.918727	71.643023	73.360820	76.574421	73.117488	71.571445	
73.212037	79.855970	76.266859	71.070349	73.876081	71.208466	
79.597048	74.005554	72.186018	70.629024	73.474374	79.656837	
72.347122	76.167821	72.483563	75.876159	72.881085	73.582156	
74.073509	75.216063	74.725300	78.312453	74.986894	70.180415	
70.390634	73.856270	72.227618	70.147747	70.059364	78.416908	
73.136551	73.653398	77.874438	77.968435	72.689771	76.072635	
76.593773	72.826509	77.837981	71.744682	78.326444	71.398803	
75.221315	75.865842	73.792904	74.155248	73.610217	74.770064	
77.449826	79.198312	77.046753	70.403185	78.239852	76.320036	
78.769104	72.762796	75.648341	78.260569	74.794444	76.298919	
76.615074	79.220685	71.278263	74.362211	70.155716	74.026723	
73.756425	71.158438	71.670420	72.698381	78.199677	74.778892	
72.095952	72.178119	75.841865	70.091550	79.794408	74.226638	
78.935238	74.572659	79.902650	76.357824	70.795392	71.440812	
72.469341	78.866959	72.761606	74.373141	79.943065	78.265037	
73.817323	74.748936	77.421823	70.646758	75.777865	70.140022	
73.783608	75.046006	79.859461	75.128244	79.161905	71.034371	
72.729631	75.051901	78.067646	70.147246	71.390834	79.028534	
78.820938	70.466524	79.014139	73.449309	78.265036	73.232867	
75.655604	78.398885	73.884151	70.618257	72.428948	70.291770	
75.737039	75.526491	73.337488	71.398241	73.938159	79.684540	
78.061920	70.120033	71.710586	70.267559	71.482427	78.458398	
72.269886	79.063807	79.118157	75.390972	71.022034	78.737574	
72.215441	79.161911	78.465913	77.158226	78.982971	78.413936	
70.504007	73.358538	74.681819	79.239361	76.731043	70.118816	
76.275511	79.987844	79.514893	75.875246	76.620984	73.002714	
78.949588	72.183984	76.996590	75.342385	71.569184	72.281648	
76.131461	75.245940	70.589497	70.472797	72.996060	70.587517	
76.568508	73.695035	72.029997	79.836680	73.605499	72.320991	
73.251144	73.070859	76.549306	75.526962	73.575559	79.003654	
72.679278	73.795403	74.464078	79.258442	78.897059	72.807871	
