Termocupla1	Termocupla2	Termocupla3	Termocupla4	Termocupla5	Termocupla6
71.239590	79.752016	75.095467	78.212756	79.172073	75.620442	
78.518502	75.648487	71.083016	78.791807	77.832563	75.471160	
75.132754	71.481103	71.790294	77.392464	70.612377	75.082127	
73.233760	75.602530	72.450808	78.984957	75.435140	75.902770	
73.411284	76.177047	71.178141	75.672062	74.230307	77.097651	
78.167532	75.392780	71.385016	79.904042	71.229938	72.761374	
79.338880	78.641645	76.068945	72.466682	77.153646	76.531260	
77.447199	73.122626	77.821738	73.110758	72.333323	75.749675	
70.001474	77.464735	75.121674	76.157736	77.304956	74.635349	
78.888365	71.972203	79.046646	75.140804	73.063786	70.876374	
75.859139	70.834839	78.669186	73.484870	70.074562	77.679859	
77.179227	71.566517	71.312633	76.332236	77.764477	74.953639	
79.268599	76.705697	75.101186	74.036897	76.755621	74.661230	
71.497989	71.434351	75.003729	79.870774	71.236950	76.703807	
74.790683	75.863672	74.156414	74.130035	73.823111	73.087886	
71.705807	77.508033	79.613884	77.178343	70.906822	71.812174	
73.939823	78.711638	74.045966	76.321188	72.209817	76.033341	
